"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","NORTHERN","10","MORGAN","029","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","NORTHERN","10","SALT LAKE","035","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","136,428","27.7"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","NORTHERN","10","TOOELE","045","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","NORTHERN","10","WEBER","057","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","98,200","27.7"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","SOUTHERN","70","BEAVER","001","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","SOUTHERN","70","IRON","021","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","49,060","27.7"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","SOUTHERN","70","PIUTE","031","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","UTAH","49","SOUTHERN","70","WASHINGTON","053","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","CENTRAL","50","JUAB","023","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","136,879","8.4"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","CENTRAL","50","MILLARD","027","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","421,383","8.4"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","CENTRAL","50","SANPETE","039","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","31,016","8.4"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","CENTRAL","50","SEVIER","041","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","38,126","8.4"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","CENTRAL","50","UTAH","049","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","430,017","8.4"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","EASTERN","60","CARBON","007","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","3,814","8.4"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","EASTERN","60","DUCHESNE","013","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","EASTERN","60","EMERY","015","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","5,390","8.4"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","EASTERN","60","GRAND","019","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","9,000","8.4"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","EASTERN","60","SAN JUAN","037","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","392,159","8.4"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","EASTERN","60","SUMMIT","043","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","EASTERN","60","UINTAH","047","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","44,968","8.4"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","NORTHERN","10","BOX ELDER","003","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,798,821","8.4"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,107,613","8.4"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","NORTHERN","10","DAVIS","011","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","116,559","8.4"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","NORTHERN","10","SALT LAKE","035","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","75,523","8.4"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","NORTHERN","10","TOOELE","045","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","86,268","8.4"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","NORTHERN","10","WEBER","057","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","255,650","8.4"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","SOUTHERN","70","BEAVER","001","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","53,666","8.4"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","SOUTHERN","70","GARFIELD","017","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","120","8.4"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","SOUTHERN","70","IRON","021","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","11,000","8.4"
"CENSUS","2012","YEAR","","COUNTY","UTAH","49","SOUTHERN","70","WASHINGTON","053","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","11,978","8.4"
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","CENTRAL","50","JUAB","023","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","114,663",""
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","CENTRAL","50","MILLARD","027","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","143,336",""
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","CENTRAL","50","SANPETE","039","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","4,018",""
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","CENTRAL","50","SEVIER","041","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","CENTRAL","50","UTAH","049","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","726,429",""
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","EASTERN","60","CARBON","007","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","EASTERN","60","EMERY","015","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","EASTERN","60","GRAND","019","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","3,600",""
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","EASTERN","60","SAN JUAN","037","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","460,785",""
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","EASTERN","60","UINTAH","047","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","EASTERN","60","WASATCH","051","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","NORTHERN","10","BOX ELDER","003","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","2,879,583",""
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","954,876",""
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","NORTHERN","10","DAVIS","011","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","105,008",""
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","NORTHERN","10","MORGAN","029","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","14,917",""
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","NORTHERN","10","RICH","033","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","3,540",""
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","NORTHERN","10","SALT LAKE","035","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","101,160",""
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","NORTHERN","10","TOOELE","045","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","NORTHERN","10","WEBER","057","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","166,724",""
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","SOUTHERN","70","BEAVER","001","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","SOUTHERN","70","IRON","021","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2007","YEAR","","COUNTY","UTAH","49","SOUTHERN","70","WAYNE","055","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2002","YEAR","","COUNTY","UTAH","49","CENTRAL","50","JUAB","023","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","96,464",""
"CENSUS","2002","YEAR","","COUNTY","UTAH","49","CENTRAL","50","MILLARD","027","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","38,623",""
"CENSUS","2002","YEAR","","COUNTY","UTAH","49","CENTRAL","50","SANPETE","039","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2002","YEAR","","COUNTY","UTAH","49","CENTRAL","50","UTAH","049","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","368,708",""
"CENSUS","2002","YEAR","","COUNTY","UTAH","49","EASTERN","60","CARBON","007","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2002","YEAR","","COUNTY","UTAH","49","EASTERN","60","DUCHESNE","013","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2002","YEAR","","COUNTY","UTAH","49","EASTERN","60","EMERY","015","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2002","YEAR","","COUNTY","UTAH","49","EASTERN","60","SAN JUAN","037","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","291,298",""
"CENSUS","2002","YEAR","","COUNTY","UTAH","49","EASTERN","60","SUMMIT","043","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2002","YEAR","","COUNTY","UTAH","49","EASTERN","60","UINTAH","047","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2002","YEAR","","COUNTY","UTAH","49","NORTHERN","10","BOX ELDER","003","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,921,384",""
"CENSUS","2002","YEAR","","COUNTY","UTAH","49","NORTHERN","10","CACHE","005","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","587,516",""
"CENSUS","2002","YEAR","","COUNTY","UTAH","49","NORTHERN","10","DAVIS","011","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","257,795",""
"CENSUS","2002","YEAR","","COUNTY","UTAH","49","NORTHERN","10","MORGAN","029","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,645",""
"CENSUS","2002","YEAR","","COUNTY","UTAH","49","NORTHERN","10","SALT LAKE","035","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","109,806",""
"CENSUS","2002","YEAR","","COUNTY","UTAH","49","NORTHERN","10","TOOELE","045","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","48,367",""
"CENSUS","2002","YEAR","","COUNTY","UTAH","49","NORTHERN","10","WEBER","057","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","98,023",""
"CENSUS","2002","YEAR","","COUNTY","UTAH","49","SOUTHERN","70","BEAVER","001","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2002","YEAR","","COUNTY","UTAH","49","SOUTHERN","70","IRON","021","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2002","YEAR","","COUNTY","UTAH","49","SOUTHERN","70","WASHINGTON","053","","","00000000","","WHEAT","WHEAT - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED"," (D)",""
