,year,countyansi,pop,wheatprice,wheatprice_l1,wheatprice_l2,precipitation,maximum_temperature,palmer_modified_drought_index_pm,average_temperature,palmer_zindex,minimum_temperature,palmer_hydrological_drought_inde,palmer_drought_severity_index_pd,heating_degree_days,cooling_degree_days,precipitation_l1,precipitation_l2,allindustrytotal,privateindustries,agricultureforestryfishingandhun,miningquarryingandoilandgasextra,utilities,construction,manufacturing,durablegoodsmanufacturing,nondurablegoodsmanufacturing,wholesaletrade,retailtrade,transportationandwarehousing,information,financeinsurancerealestaterental,financeandinsurance,realestateandrentalandleasing,professionalandbusinessservices,professionalscientificandtechnic,managementofcompaniesandenterpri,administrativeandsupportandwaste,educationalserviceshealthcareand,educationalservices,healthcareandsocialassistance,artsentertainmentrecreationaccom,artsentertainmentandrecreation,accommodationandfoodservices,otherservicesexceptgovernmentand,governmentandgovernmententerpris,county1,county2,county3,county4,county5,county6,county7,county8,county9,county10,county11,county12,county13,county14,county15,county16,county17,county18,county19,county20,county21,county22,county23,county24,county25,county26,year1,year2,year3,year4,logwheatprod,county
10,2022,13,20161,9.1499996,7.0999999,5.4299998,14.97,55.400002,-0.94,42.599998,0.86000001,29.9,-1.41,0.28999999,8291,174,9.8699999,14.91,1463595,1312085,31363,546905,10156,83396,26157,22277,3610,35314,61175,80528,57662,197063,17148,186492,55400,17903,15131,10702,48165,1021,57643,19709,791,18533,32943,158368,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.940932010607003,duchesne
11,2002,15,10548,4.6500001,3.3,3.25,6.6199999,64.699997,-0.56999999,50.900002,-0.89999998,37.099998,-2.4000001,-2.4000001,6100,991,7.8000002,7.46,545844,506139,1265,76914,300858,14648,1772,1095,408,1699,12505,7823,15991,37508,2485,31693,14906,2677,11103,1126,1755,3,2356,5657,477,5180,12305,39704,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.304023044768176,emery
12,2007,15,10566,8.3000002,4.8499999,3.8,8.1999998,65.5,0.2,52.0,2.3900001,38.400002,-0.97000003,0.80000001,5775,1036,12.46,11.82,736663,690644,5735,143605,374812,26842,2046,1380,543,2151,15955,6244,27146,47566,2937,39777,14687,3947,10613,2347,2399,6,3267,7219,125,6347,13049,46019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.07015647104979,emery
13,2017,15,10027,5.1999998,4.3000002,5.1799998,7.7399998,66.099998,-2.6800001,52.599998,-1.6,39.200001,-2.6800001,-2.6800001,5426,944,7.7199998,18.129999,928503,869871,5671,75392,610989,20182,2760,1998,762,3450,19191,2752,33607,65342,3856,61486,17765,4925,11683,4571,2546,18,6280,10404,157,10247,11838,58632,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.761213629347939,emery
14,2022,17,5281,9.1499996,7.0999999,5.4299998,10.03,62.799999,-2.7,49.5,0.050000001,36.200001,-2.99,0.02,6236,626,10.76,11.84,334041,279304,11043,5592,8167,9130,5204,5206,1448,2378,9787,2706,67553,55287,3475,52685,9094,2485,13693,843,20994,1694,20999,74190,5476,69034,5818,52983,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.078831670910523,garfield
15,2002,21,35728,4.6500001,3.3,3.25,7.0500002,64.0,-4.3899999,49.400002,-1.01,34.799999,-4.5799999,-4.5799999,6313,654,9.8400002,7.0700002,831750,653022,60405,122,5518,46237,101362,26371,74991,24233,68608,22709,8619,158509,39572,118937,50826,13140,12716,24817,33169,1350,31819,38267,8278,29989,33873,178728,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.713720381212823,iron
16,2007,21,43645,8.3000002,4.8499999,3.8,11.84,64.599998,-1.78,50.099998,1.65,35.599998,-2.5,-2.5,6055,644,10.72,10.13,1202539,965135,51195,6353,7598,96168,146850,71075,75776,32161,111452,23346,20163,261941,63335,198605,59565,25426,11592,22547,59880,2526,57354,49160,9508,39651,39302,237404,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.831231006727329,iron
17,2017,29,11836,5.1999998,4.3000002,5.1799998,29.1,57.099998,-2.4000001,46.0,-1.72,34.900002,-2.4000001,-2.4000001,7236,333,10.1,15.74,291875,258521,5828,5751,2921,46068,30631,28711,1921,26677,13985,1825,706,67336,16981,50355,33210,15303,12249,4697,7364,346,7018,4932,1130,3802,11288,33355,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.596190188141644,morgan
18,2017,31,1406,5.1999998,4.3000002,5.1799998,15.74,59.900002,-2.51,46.400002,-2.9300001,33.0,-2.51,-2.51,6947,183,17.780001,9.3199997,80346,72141,55021,0,0,1330,98,42,0,103,1120,3433,134,8833,5651,9111,418,11,0,98,395,158,407,622,228,394,7945,8205,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.124023524778929,piute
19,2022,31,1487,9.1499996,7.0999999,5.4299998,12.65,58.299999,-1.61,44.400002,1.64,30.6,-2.3499999,0.55000001,7631,173,7.54,9.6499996,65079,53449,16500,2110,65286,1744,123,53,42,70,1362,4152,123,13832,6679,11435,611,15,10504,137,540,127,564,1835,250,1186,9547,10200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.809329514481789,piute
20,2002,39,23566,4.6500001,3.3,3.25,14.75,56.900002,0.19,43.900002,-0.07,30.9,-1.75,-0.02,7958,281,13.3,7.9899998,403027,298336,49517,1050,991,26390,38420,24651,15764,3893,27149,8032,19941,76106,15253,60852,9749,4038,7894,2626,16749,3218,14389,6832,875,5957,16682,104691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8.953473819217438,sanpete
21,2007,41,20236,8.3000002,4.8499999,3.8,14.97,58.5,0.66000003,45.900002,1.99,33.200001,0.66000003,0.66000003,7242,286,20.219999,11.9,731017,634849,8719,146466,5634,34535,79043,23953,55090,17612,62590,62792,12712,107816,17562,90254,28759,14068,8723,5967,29896,482,30961,19433,175,19259,16583,96168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9.88926865374447,sevier
22,2017,41,21299,5.1999998,4.3000002,5.1799998,15.11,59.5,-2.2,47.099998,-2.47,34.599998,-2.2,-2.2,6807,280,29.1,10.1,1121101,1009036,101992,354036,6486,29812,68458,25736,42722,28241,71706,84677,4700,109582,17624,91957,40905,18678,12813,9414,55910,1502,59520,27378,841,26538,20884,112065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11.117957499777049,sevier
23,2002,43,31536,4.6500001,3.3,3.25,19.42,50.900002,-2.1400001,38.5,-1.3,26.200001,-2.6600001,-2.6600001,9680,55,18.74,13.78,1195465,1083861,17779,40083,3840,112974,44832,40783,4050,27892,94044,18616,31583,235926,47102,188824,126574,84808,17446,24319,35191,10614,24577,241560,106273,135287,52967,111604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11.476697867471536,summit
24,2012,43,37886,9.5900002,8.2600002,7.4299998,19.959999,53.200001,-3.1199999,41.0,0.23999999,28.799999,-3.27,-3.27,8764,42,10.57,9.9899998,2318939,2134287,20021,36941,7745,72278,103095,78341,24753,66838,175325,40752,57520,683656,102680,580976,246362,167297,26652,52413,93420,20753,72668,491243,218402,272840,71317,184652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12.097263611656173,summit
25,2017,43,41375,5.1999998,4.3000002,5.1799998,28.74,52.400002,-2.0,40.799999,-1.6799999,29.1,-2.0,-2.0,8864,47,19.129999,26.91,3312980,3087926,20632,38559,9498,224022,108390,87727,20663,70852,229140,38883,69310,919501,114377,805124,382791,266362,43325,73103,138128,21614,116513,747161,357509,389652,91059,225054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12.945217224821267,summit
26,2007,45,53821,8.3000002,4.8499999,3.8,7.8899999,65.800003,-2.52,51.900002,1.33,38.0,-3.0999999,-3.0999999,5959,1192,20.99,14.07,1564031,1218792,4335,4249,5413,166339,275119,242027,33092,11112,81875,84528,45895,183806,16803,167003,233157,51601,8716,172840,44272,706,43566,33115,6894,26221,44021,345238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,11.115079343099493,tooele
27,2017,45,67490,5.1999998,4.3000002,5.1799998,10.31,64.800003,-1.51,51.799999,-1.41,38.799999,-1.51,-1.51,5839,1060,15.11,29.1,1737605,1371367,2378,38296,14175,116922,247812,187649,60163,17930,100137,130068,21888,264203,19872,244332,204439,80664,10437,148664,92629,10888,81740,53652,12396,41257,66835,366238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11.376527066101348,tooele
28,2022,45,79934,9.1499996,7.0999999,5.4299998,8.5299997,65.300003,-0.60000002,51.599998,1.3,38.0,-1.87,0.88999999,6011,1179,7.23,24.41,2766366,2249411,7168,34627,23562,158275,541550,432357,104331,22564,129793,96141,36466,329775,26791,315160,530195,114932,10951,344250,120697,11290,118477,71955,16034,51763,77827,490708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.927219035633883,tooele
29,2002,47,26395,4.6500001,3.3,3.25,8.3000002,59.400002,-2.4100001,45.900002,-1.04,32.299999,-3.6199999,-3.6199999,7542,609,6.6199999,7.8000002,835709,710318,2348,213624,79046,28323,8784,5537,3247,30483,52898,32012,9605,136184,20770,115415,40539,13730,8180,7417,22189,1261,20928,13644,1418,12226,40639,125391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8.883906645591784,uintah
30,2007,47,29920,8.3000002,4.8499999,3.8,10.13,60.599998,-0.77999997,46.900002,2.4200001,33.299999,-1.84,0.81,7230,656,9.4700003,13.06,2328712,2168646,10777,1202519,84270,102659,15853,12334,3519,75884,81691,92243,16270,310519,25285,285234,33186,27756,8582,8593,35210,1145,34065,26908,879,26029,50177,160066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,10.094063496142208,uintah
31,2007,51,21413,8.3000002,4.8499999,3.8,20.219999,54.900002,-1.95,42.400002,0.33000001,29.799999,-2.1500001,0.11,8355,128,11.9,10.47,556572,475950,1856,23401,2479,83323,15002,12909,2093,17136,31421,11509,18070,112952,20481,92471,45388,25831,9732,9825,24024,1179,22846,65635,2895,62740,21247,80622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11.963348403626682,wasatch
32,2017,51,32045,5.1999998,4.3000002,5.1799998,26.629999,55.099998,-3.04,43.200001,-2.6700001,31.200001,-3.04,-3.04,8061,112,38.189999,13.78,966484,841349,4064,3134,6641,233814,30686,17971,12715,21090,73002,13754,23434,184956,16151,168805,87161,51818,6988,28355,60702,7687,53014,58438,10798,47640,40473,125135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13.0747126982355,wasatch
33,2002,53,99274,4.6500001,3.3,3.25,6.0900002,69.599998,-4.48,56.799999,-1.11,44.0,-4.77,-4.77,4399,1454,7.8499999,6.5799999,2132802,1880051,6226,8413,4400,203651,116297,86650,29648,56455,271929,137944,59576,466346,97772,368574,128061,65965,21021,41076,188443,5718,182725,132076,18579,113497,100233,252751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10.030635397357733,washington
34,2017,53,166195,5.1999998,4.3000002,5.1799998,13.78,70.300003,-2.1300001,57.700001,-2.48,45.200001,-2.1300001,-2.1300001,3956,1335,7.7399998,7.7199998,6040338,5423669,4794,56837,25117,681564,304773,232804,71969,213429,524994,313679,199905,1408264,197798,1210466,416661,245803,19188,130162,712447,31973,680475,359783,59835,299947,221115,616669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10.000330032834587,washington
35,2007,55,2648,8.3000002,4.8499999,3.8,8.4799995,65.599998,0.76999998,52.599998,2.3199999,39.5,0.76999998,0.76999998,5530,1017,16.23,14.97,74643,58219,6760,0,1714,5486,760,617,143,780,3691,1144,192,17261,348,9730,478,155,0,323,11577,29,3447,5596,275,5321,1887,16423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11.60119244452032,wayne
0,2012,1,6500,9.5900002,8.2600002,7.4299998,11.54,65.400002,-1.73,51.0,0.68000001,36.599998,-2.0799999,-2.0799999,5739,655,16.450001,6.4499998,294477,252353,41378,39658,36558,7339,10526,1186,9341,2001,13745,25913,561,31169,4782,35707,16021,972,14245,603,4192,155,4037,15405,3595,30456,6897,42123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.890535,beaver
1,2002,3,44038,4.6500001,3.3,3.25,9.29,60.099998,-1.78,47.400002,-0.86000001,34.599998,-2.23,-2.23,7094,708,7.0700002,17.459999,1462261,1339432,50550,2465,2527,47829,800410,782434,17976,28688,67265,49353,13457,145604,30380,115223,41072,12217,22094,6760,34490,1008,33481,21113,1602,19511,34609,122828,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14.468556,box elder
2,2007,3,47193,8.3000002,4.8499999,3.8,8.8299999,62.599998,-3.8199999,49.400002,0.58999997,36.200001,-4.0999999,-4.0999999,6540,880,15.59,9.4200001,2083837,1924961,76304,3560,3364,92741,1184430,1152299,32131,47291,88006,77503,10157,190940,26504,164437,36135,16028,9957,10149,48164,2129,46034,27427,1861,25567,38937,158876,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.873156,box elder
3,2012,3,50205,9.5900002,8.2600002,7.4299998,9.25,63.400002,-3.4400001,50.200001,1.0700001,37.099998,-3.9000001,-3.9000001,6144,789,10.47,13.01,1798877,1649794,83926,2970,4250,63414,833825,671358,162467,56084,77513,83412,8025,228048,26408,201640,59201,22794,12664,18398,68503,4714,63789,32747,4919,27829,47879,149083,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.844708,box elder
4,2017,3,53999,5.1999998,4.3000002,5.1799998,13.17,61.099998,-1.55,49.200001,-1.92,37.200001,-1.55,-1.55,6552,806,14.02,22.309999,2251685,2057539,95235,7270,11331,128272,981169,825972,155197,78834,104769,105576,25219,247894,29605,218290,84316,34332,13088,36896,89430,4468,84963,43365,5919,37446,54858,194146,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.813667,box elder
5,2022,3,61498,9.1499996,7.0999999,5.4299998,9.8699999,60.799999,-2.2,48.200001,0.58999997,35.5,-3.03,0.56,6944,858,14.91,7.8499999,3368460,3197173,79505,8985,15530,161702,1616802,1448957,141762,84290,135227,126083,23488,336908,40627,305368,125941,46275,13942,36472,124292,10132,121893,56948,6318,50721,68274,234472,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.434554,box elder
6,2002,5,95493,4.6500001,3.3,3.25,21.67,53.700001,-2.3099999,42.799999,-1.3,31.799999,-2.5599999,-2.5599999,8367,300,12.46,16.15,2214922,1751129,42725,1070,4514,100934,449601,247452,323901,33806,152754,44870,54713,335625,80589,255036,265534,105308,112412,47813,119902,7334,112568,58110,13122,44988,86973,463793,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13.283659,cache
7,2007,5,103624,8.3000002,4.8499999,3.8,20.99,56.900002,-2.9100001,45.299999,-0.38,33.599998,-2.9100001,-2.9100001,7558,389,14.07,18.5,3049650,2452366,36301,1021,6013,170775,749588,376038,373551,67575,215974,52866,66391,457375,87612,369764,250043,127142,40711,82191,200463,12881,187582,75492,13979,61514,102487,597284,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.769337,cache
8,2012,5,115925,9.5900002,8.2600002,7.4299998,23.24,57.900002,-1.92,46.5,1.45,35.0,-2.5599999,-2.5599999,7088,356,17.75,8.1499996,3989160,3301180,63625,2113,9053,142016,1001969,407369,594599,115238,226853,73073,120634,740624,131449,609175,300217,193732,35760,70725,270276,22896,247380,103573,24549,79024,112284,687980,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.917718,cache
9,2017,5,124448,5.1999998,4.3000002,5.1799998,38.189999,55.799999,-1.87,44.900002,-1.61,34.0,-1.9,-1.9,7630,323,13.78,7.7399998,5182082,4373385,99666,2923,11567,262631,1153443,437930,715514,191618,354042,89699,75013,1015304,160680,854624,454456,321106,39207,94143,375585,26727,348858,146030,41039,104991,141408,808697,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.868303,cache
10,2022,5,140173,9.1499996,7.0999999,5.4299998,24.49,55.099998,0.029999999,43.700001,1.35,32.400002,0.61000001,0.61000001,8069,361,18.950001,23.629999,6432287,5479003,88970,3458,24135,338461,1500016,625918,1009562,157203,384031,99847,131325,973375,157625,835916,767632,435304,45503,169599,499307,60422,478708,170016,40135,131198,174506,941541,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.385257,cache
11,2012,7,21226,9.5900002,8.2600002,7.4299998,10.61,60.5,-3.26,47.299999,1.03,34.099998,-3.71,-3.71,6818,397,16.75,14.58,1084326,956659,1295,290094,69690,38329,34636,26295,9535,67712,53492,107166,6207,130068,14982,115086,52804,12756,6178,23066,58369,112,3293,18113,2813,15300,28684,127667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.2464342,carbon
12,2002,11,249676,4.6500001,3.3,3.25,18.74,59.799999,-2.9200001,48.799999,-1.55,37.799999,-2.9200001,-2.9200001,6637,764,13.78,11.4,6436033,4392976,18261,3875,5955,391238,687522,452343,235179,248187,468499,250251,60169,1036079,201236,834843,507326,347296,53174,106856,299918,15344,284574,164335,39934,124401,251362,2043056,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.45992,davis
13,2007,11,288236,8.3000002,4.8499999,3.8,22.24,61.900002,-0.61000001,50.599998,1.5700001,39.200001,-1.4299999,0.51999998,6132,904,8.1999998,12.46,9299039,6747638,12294,17923,9538,791302,1279951,647422,632530,282468,639873,316835,146912,1538205,310171,1228033,748667,486542,69116,193009,455293,38875,416418,218581,54985,163597,289794,2551401,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.561791,davis
14,2012,11,316022,9.5900002,8.2600002,7.4299998,19.77,63.099998,-3.1099999,52.0,-0.029999999,40.900002,-3.1600001,-3.1600001,5623,905,7.1100001,14.48,10917835,8069433,16474,21703,14429,720962,1558981,877768,681213,319896,682501,269863,203783,1919111,264187,1654923,1054588,757403,71838,225347,653055,83966,569089,289513,95239,194274,344572,2848402,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.666153,davis
15,2017,11,346858,5.1999998,4.3000002,5.1799998,26.91,62.299999,-2.5899999,51.400002,-1.77,40.5,-2.5899999,-2.5899999,5834,894,11.37,22.92,13919822,10514202,5555,23377,42103,1053870,2016201,1202473,813728,396391,926934,384543,177449,2292053,317824,1974229,1322728,887407,107742,327579,995933,232213,763720,416414,140381,276033,460650,3405620,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.831881,davis
16,2022,11,369948,9.1499996,7.0999999,5.4299998,22.190001,61.799999,0.07,50.099998,1.1900001,38.5,-1.09,0.75999999,6313,937,10.72,15.33,17809285,13498059,11216,34776,59712,1292721,2404946,1292774,1241417,534808,1071878,479825,233279,2727462,392724,2405414,2158853,1392892,86198,454328,1225586,259463,1082517,479231,143759,342762,526399,3955692,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2088,davis
17,2012,15,10941,9.5900002,8.2600002,7.4299998,6.4499998,66.300003,-2.97,52.700001,0.72000003,39.200001,-3.3,-3.3,5437,999,19.959999,10.57,928409,872083,1747,151017,553972,29583,1502,1741,721,2724,15565,4142,27990,52429,3471,49923,8016,5193,11135,3275,3281,10,4529,8218,950,7268,12692,56326,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.5923004,emery
