,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"                Professional and business services","59","117,816","128,061","129,238","150,344","168,400","200,665","228,735","243,168","225,054","237,969","242,755","262,769","S","S","S","365,145","S","S","S","532,794","603,110"
"                        Professional, scientific, and technical services","60","57,583","65,965","69,563","77,229","94,953","113,439","131,652","142,484","127,477","126,989","135,897","149,176","164,704","181,823","206,967","227,657","245,803","300,189","298,311","332,490","368,920"
"                        Management of companies and enterprises","64","24,930","21,021","18,763","20,548","10,884","14,093","11,400","13,816","13,270","16,658","15,633","17,286","S","S","S","18,641","S","S","S","30,783","33,199"
"                        Administrative and support and waste management and remediation services","65","35,302","41,076","40,912","52,567","62,562","73,132","85,683","86,868","84,306","94,323","91,225","96,307","104,040","113,900","115,946","118,848","130,162","143,813","163,713","169,521","200,992"
"                Educational services, health care, and social assistance","68","169,732","188,443","220,714","253,625","281,405","336,135","367,446","445,318","472,694","459,989","479,919","478,819","522,522","556,634","604,353","684,086","712,447","770,228","832,303","876,009","946,421"
"                        Educational services","69","4,974","5,718","4,591","6,082","7,312","7,862","8,853","9,756","13,990","18,095","18,700","23,785","27,779","30,104","27,359","28,872","31,973","38,552","44,417","45,045","50,437"
"                        Health care and social assistance","70","164,758","182,725","216,123","247,543","274,093","328,274","358,593","435,562","458,704","441,894","461,219","455,034","494,743","526,530","576,994","655,214","680,475","731,676","787,886","830,964","895,984"
"                Arts, entertainment, recreation, accommodation, and food services","75","122,594","132,076","138,188","151,636","169,427","204,696","221,202","218,052","202,676","206,856","223,760","251,237","279,915","298,632","318,663","328,232","359,783","393,977","421,557","360,937","487,277"
"                        Arts, entertainment, and recreation","76","14,943","18,579","21,974","22,242","23,930","27,171","29,401","28,452","31,358","33,569","38,452","39,803","53,658","55,590","50,433","52,537","59,835","68,167","67,124","54,980","74,874"
"                        Accommodation and food services","79","107,651","113,497","116,214","129,393","145,497","177,525","191,801","189,599","171,318","173,287","185,309","211,434","226,257","243,042","268,230","275,694","299,947","325,810","354,433","305,957","412,402"
"                Other services (except government and government enterprises)","82","86,941","100,233","105,742","114,752","125,363","134,830","S","135,865","135,941","140,218","148,180","163,742","169,314","185,667","195,426","S","221,115","238,885","259,191","301,911","330,099"
"Government and government enterprises","83","243,279","252,751","271,432","296,962","335,356","374,982","403,926","445,169","478,786","486,248","499,563","499,977","508,754","536,062","551,335","583,971","616,669","662,186","698,121","740,085","802,394"


