,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"                Retail trade","35","433,085","452,996","480,469","485,685","518,216","588,898","583,222","577,492","537,196","533,799","538,740","567,092","606,536","617,012","654,736","698,630","707,140","811,393","855,757","893,181","1,023,639"
"                Transportation and warehousing","36","116,668","116,734","125,176","129,120","125,479","145,604","158,612","152,887","145,569","137,287","134,396","147,564","158,439","169,671","182,525","191,839","204,958","221,542","227,246","248,551","268,284"
"                Information","45","129,829","S","161,598","171,752","200,773","221,933","185,199","177,630","174,816","165,595","151,673","117,982","122,005","117,186","132,330","134,225","130,664","131,535","132,176","129,073","142,651"
"                Finance, insurance, real estate, rental, and leasing","50","880,687","894,319","930,530","954,297","1,394,833","1,553,179","1,619,685","1,555,511","1,375,221","1,519,643","1,656,695","1,710,503","1,564,230","1,763,199","1,630,217","1,726,279","1,825,652","1,871,138","2,153,341","2,303,190","2,519,274"
"                        Finance and insurance","51","197,755","217,533","245,613","263,607","550,920","746,589","719,803","514,789","389,261","460,001","512,666","567,298","492,266","528,409","480,929","514,993","548,195","452,912","483,966","533,467","586,902"
"                        Real estate and rental and leasing","56","682,932","676,786","684,917","690,690","843,913","806,590","899,882","1,040,722","985,960","1,059,642","1,144,028","1,143,205","1,071,963","1,234,790","1,149,287","1,211,286","1,277,457","1,418,226","1,669,375","1,769,723","1,932,372"
"                Professional and business services","59","316,233","409,515","422,062","425,212","450,006","471,163","517,259","524,425","476,125","512,756","504,392","543,658","649,193","683,022","729,176","772,426","829,111","880,883","918,698","969,538","1,030,459"
"                        Professional, scientific, and technical services","60","149,268","178,031","183,126","187,674","189,831","195,756","215,516","235,231","228,396","235,099","248,259","260,831","323,928","345,920","374,059","386,892","411,289","449,869","473,086","506,690","560,124"
"                        Management of companies and enterprises","64","33,891","98,766","98,251","78,882","76,163","70,734","83,955","84,525","72,486","92,092","56,958","58,156","36,035","39,167","41,825","37,603","43,372","49,194","51,328","50,146","60,673"
"                        Administrative and support and waste management and remediation services","65","133,075","132,718","140,685","158,656","184,011","204,673","217,789","204,668","175,243","185,565","199,175","224,671","289,230","297,935","313,293","347,931","374,449","381,820","394,284","412,702","409,662"
"                Educational services, health care, and social assistance","68","S","S","458,655","487,674","504,832","577,845","611,531","661,680","712,536","727,649","754,955","786,201","806,910","843,154","898,783","965,914","988,459","1,060,023","1,097,842","1,075,242","1,140,285"
"                        Educational services","69","S","S","13,763","17,606","19,893","23,455","27,443","32,270","39,163","41,748","47,334","51,241","46,774","51,632","58,445","63,417","70,064","78,819","87,932","76,475","83,916"
"                        Health care and social assistance","70","378,324","410,186","444,892","470,068","484,939","554,390","584,088","629,410","673,373","685,901","707,621","734,960","760,136","791,522","840,338","902,498","918,395","981,203","1,009,910","998,767","1,056,369"
"                Arts, entertainment, recreation, accommodation, and food services","75","162,378","169,568","167,172","176,603","181,707","186,088","194,591","214,057","209,147","204,752","209,372","223,179","238,181","239,920","266,617","279,765","306,062","321,452","334,822","313,164","391,975"
"                        Arts, entertainment, and recreation","76","29,704","28,438","25,911","28,458","29,419","31,517","32,993","41,235","42,030","39,471","46,122","52,796","62,416","56,965","60,236","65,997","74,340","79,563","79,081","74,580","98,094"
"                        Accommodation and food services","79","132,674","141,130","141,261","148,145","152,288","154,572","161,598","172,821","167,116","165,281","163,250","170,384","175,765","182,956","206,381","213,768","231,722","241,889","255,740","238,584","293,881"
"                Other services (except government and government enterprises)","82","175,727","190,059","201,850","226,223","222,140","229,362","237,145","251,083","261,145","259,457","262,592","274,193","278,442","295,609","299,197","307,410","327,326","338,339","349,743","389,268","414,352"
"Government and government enterprises","83","1,069,745","1,133,878","1,155,144","1,167,493","1,257,477","1,325,108","1,374,588","1,466,787","1,472,577","1,521,277","1,540,133","1,533,290","1,534,677","1,568,834","1,582,805","1,610,817","1,679,150","1,753,713","1,833,811","1,990,449","2,141,273"


