,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"                Retail trade","35","148,074","152,754","165,148","184,010","188,187","206,155","215,974","220,700","211,126","213,301","217,623","226,853","246,888","260,533","296,119","330,605","354,042","387,040","405,350","443,475","524,834"
"                Transportation and warehousing","36","43,998","44,870","54,052","54,157","53,023","51,496","52,866","58,869","58,062","60,520","64,251","73,073","79,470","79,537","79,794","86,902","89,699","90,484","78,844","77,327","85,086"
"                Information","45","42,445","54,713","58,121","67,513","75,406","62,926","66,391","76,359","89,806","103,865","123,757","120,634","141,104","S","123,416","97,312","75,013","82,670","89,057","95,526","100,392"
"                Finance, insurance, real estate, rental, and leasing","50","326,292","335,625","368,672","372,523","416,298","409,370","457,375","485,802","529,506","578,432","624,807","740,624","735,184","767,358","849,985","918,302","1,015,304","1,112,264","1,140,164","965,544","984,839"
"                        Finance and insurance","51","66,160","80,589","98,859","100,720","97,885","94,043","87,612","74,713","73,617","89,568","92,296","131,449","121,620","125,653","142,630","155,374","160,680","142,066","135,030","141,617","166,488"
"                        Real estate and rental and leasing","56","260,132","255,036","269,812","271,803","318,412","315,327","369,764","411,089","455,888","488,864","532,511","609,175","613,564","641,704","707,354","762,928","854,624","970,198","1,005,134","823,928","818,351"
"                Professional and business services","59","240,607","265,534","190,693","200,241","209,156","234,528","250,043","285,507","268,178","277,942","290,603","300,217","353,935","367,100","379,447","403,067","454,456","531,368","636,847","699,563","802,979"
"                        Professional, scientific, and technical services","60","89,345","105,308","106,401","116,366","114,839","119,563","127,142","162,096","157,402","166,065","187,085","193,732","240,650","247,629","268,379","286,727","321,106","386,033","444,953","488,478","530,324"
"                        Management of companies and enterprises","64","103,750","112,412","25,437","17,067","28,732","43,617","40,711","45,936","S","37,260","30,181","35,760","37,468","37,249","32,655","38,641","39,207","40,949","42,527","37,515","82,766"
"                        Administrative and support and waste management and remediation services","65","47,511","47,813","58,855","66,808","65,585","71,347","82,191","77,476","S","74,618","73,337","70,725","75,817","82,222","78,413","77,699","94,143","104,386","149,367","173,569","189,890"
"                Educational services, health care, and social assistance","68","103,965","119,902","136,306","155,090","168,063","185,076","200,463","225,726","239,250","243,072","259,701","270,276","311,739","322,422","337,024","365,490","375,585","395,372","433,219","434,200","463,905"
"                        Educational services","69","4,308","7,334","8,845","11,076","9,733","11,189","12,881","14,631","15,867","18,012","20,993","22,896","21,258","22,197","23,548","27,089","26,727","30,909","36,685","34,853","36,635"
"                        Health care and social assistance","70","99,657","112,568","127,460","144,014","158,330","173,887","187,582","211,095","223,383","225,060","238,708","247,380","290,481","300,226","313,476","338,401","348,858","364,463","396,535","399,347","427,270"
"                Arts, entertainment, recreation, accommodation, and food services","75","54,719","58,110","58,051","63,258","63,839","69,931","75,492","79,913","86,813","93,925","99,897","103,573","112,247","123,442","129,883","136,169","146,030","153,193","157,046","137,644","170,359"
"                        Arts, entertainment, and recreation","76","10,462","13,122","13,431","14,005","13,096","13,934","13,979","14,707","15,443","15,557","19,337","24,549","34,305","41,058","38,178","41,267","41,039","39,904","33,959","24,459","31,202"
"                        Accommodation and food services","79","44,257","44,988","44,620","49,253","50,743","55,997","61,514","65,206","71,370","78,368","80,560","79,024","77,941","82,384","91,705","94,902","104,991","113,289","123,088","113,186","139,157"
"                Other services (except government and government enterprises)","82","80,473","86,973","90,190","93,533","97,322","102,187","102,487","106,662","109,770","107,302","108,093","112,284","112,853","122,989","125,736","130,998","141,408","149,320","158,196","181,518","193,663"
"Government and government enterprises","83","453,852","463,793","495,857","522,715","551,366","582,874","597,284","642,409","640,604","667,610","696,296","687,980","692,609","713,254","727,882","769,170","808,697","830,728","860,998","894,656","942,826"


