,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"                Educational services, health care, and social assistance","68","1,117,969","1,185,245","1,246,841","1,313,322","1,420,735","1,580,116","1,678,048","1,776,596","1,916,812","1,992,303","2,049,100","2,131,522","2,202,673","2,285,924","2,374,855","2,564,718","2,678,600","2,909,338","3,118,787","3,158,426","3,404,467"
"                        Educational services","69","532,808","544,963","577,739","626,330","679,047","762,057","812,126","827,206","885,411","914,686","916,313","944,325","957,278","1,009,085","1,018,137","1,046,350","1,089,610","1,146,384","1,218,513","1,178,589","1,255,430"
"                        Health care and social assistance","70","585,161","640,282","669,101","686,991","741,688","818,059","865,922","949,390","1,031,401","1,077,617","1,132,786","1,187,197","1,245,395","1,276,839","1,356,718","1,518,369","1,588,990","1,762,954","1,900,274","1,979,837","2,149,038"
"                Arts, entertainment, recreation, accommodation, and food services","75","231,186","240,455","248,935","262,983","281,342","318,836","350,573","360,144","342,707","356,466","375,415","417,168","445,649","486,743","555,460","597,223","635,507","727,594","810,033","749,092","980,052"
"                        Arts, entertainment, and recreation","76","46,941","38,572","41,875","44,539","48,000","48,587","51,804","57,344","62,797","66,374","70,998","83,822","89,414","102,353","119,063","125,963","116,119","133,372","164,588","151,527","233,305"
"                        Accommodation and food services","79","184,245","201,883","207,060","218,444","233,342","270,248","298,769","302,801","279,910","290,092","304,417","333,346","356,236","384,390","436,397","471,260","519,389","594,222","645,445","597,565","746,747"
"                Other services (except government and government enterprises)","82","319,124","358,848","383,354","407,488","406,462","431,529","S","470,248","492,959","494,004","517,223","560,166","584,231","629,864","660,390","S","710,090","743,218","793,468","919,334","1,003,708"
"Government and government enterprises","83","1,102,659","1,154,170","1,200,420","1,269,530","1,367,658","1,456,231","1,537,981","1,665,700","1,692,401","1,765,992","1,822,579","1,823,068","1,896,130","1,934,161","1,949,449","2,071,613","2,167,316","2,202,741","2,313,764","2,509,965","2,680,717"


