year,county,countyansi,wheatprod,pop,wheatprice,wheatprice_l1,wheatprice_l2,precipitation,maximum_temperature,palmer_modified_drought_index_pm,average_temperature,palmer_zindex,minimum_temperature,palmer_hydrological_drought_inde,palmer_drought_severity_index_pd,heating_degree_days,cooling_degree_days,precipitation_l1,precipitation_l2,allindustrytotal,privateindustries,agricultureforestryfishingandhun,miningquarryingandoilandgasextra,utilities,construction,manufacturing,durablegoodsmanufacturing,nondurablegoodsmanufacturing,wholesaletrade,retailtrade,transportationandwarehousing,information,financeinsurancerealestaterental,financeandinsurance,realestateandrentalandleasing,professionalandbusinessservices,professionalscientificandtechnic,managementofcompaniesandenterpri,administrativeandsupportandwaste,educationalserviceshealthcareand,educationalservices,healthcareandsocialassistance,artsentertainmentrecreationaccom,artsentertainmentandrecreation,accommodationandfoodservices,otherservicesexceptgovernmentand,governmentandgovernmententerpris,countycode,logwheatprod,county1,county2,county3,county4,county5,county6,county7,county8,county9,county10,county11,county12,county13,county14,county15,county16,county17,county18,county19,county20,county21,county22,county23,county24,county25,county26,county27,year1,year2,year3,year4,year5
2022,cache,5,650344,140173,9.1499996,7.0999999,5.4299998,24.49,55.099998,.029999999,43.700001,1.35,32.400002,.61000001,.61000001,8069,361,18.950001,23.629999,6432287,5479003,88970,3458,24135,338461,1500016,625918,1009562,157203,384031,99847,131325,973375,157625,835916,767632,435304,45503,169599,499307,60422,478708,170016,40135,131198,174506,941541,3,13.385257,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,carbon,7,3814,21226,9.5900002,8.2600002,7.4299998,10.61,60.5,-3.26,47.299999,1.03,34.099998,-3.71,-3.71,6818,397,16.75,14.58,1084326,956659,1295,290094,69690,38329,34636,26295,9535,67712,53492,107166,6207,130068,14982,115086,52804,12756,6178,23066,58369,112,3293,18113,2813,15300,28684,127667,4,8.2464342,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2002,davis,11,257795,249676,4.6500001,3.3,3.25,18.74,59.799999,-2.9200001,48.799999,-1.55,37.799999,-2.9200001,-2.9200001,6637,764,13.78,11.4,6436033,4392976,18261,3875,5955,391238,687522,452343,235179,248187,468499,250251,60169,1036079,201236,834843,507326,347296,53174,106856,299918,15344,284574,164335,39934,124401,251362,2043056,6,12.45992,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007,davis,11,105008,288236,8.3000002,4.8499999,3.8,22.24,61.900002,-.61000001,50.599998,1.5700001,39.200001,-1.4299999,.51999998,6132,904,8.1999998,12.46,9299039,6747638,12294,17923,9538,791302,1279951,647422,632530,282468,639873,316835,146912,1538205,310171,1228033,748667,486542,69116,193009,455293,38875,416418,218581,54985,163597,289794,2551401,6,11.561791,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012,davis,11,116559,316022,9.5900002,8.2600002,7.4299998,19.77,63.099998,-3.1099999,52,-.029999999,40.900002,-3.1600001,-3.1600001,5623,905,7.1100001,14.48,10917835,8069433,16474,21703,14429,720962,1558981,877768,681213,319896,682501,269863,203783,1919111,264187,1654923,1054588,757403,71838,225347,653055,83966,569089,289513,95239,194274,344572,2848402,6,11.666153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,davis,11,137569,346858,5.1999998,4.3000002,5.1799998,26.91,62.299999,-2.5899999,51.400002,-1.77,40.5,-2.5899999,-2.5899999,5834,894,11.37,22.92,13919822,10514202,5555,23377,42103,1053870,2016201,1202473,813728,396391,926934,384543,177449,2292053,317824,1974229,1322728,887407,107742,327579,995933,232213,763720,416414,140381,276033,460650,3405620,6,11.831881,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022,davis,11,27141,369948,9.1499996,7.0999999,5.4299998,22.190001,61.799999,.07,50.099998,1.1900001,38.5,-1.09,.75999999,6313,937,10.72,15.33,17809285,13498059,11216,34776,59712,1292721,2404946,1292774,1241417,534808,1071878,479825,233279,2727462,392724,2405414,2158853,1392892,86198,454328,1225586,259463,1082517,479231,143759,342762,526399,3955692,6,10.2088,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,emery,15,5390,10941,9.5900002,8.2600002,7.4299998,6.4499998,66.300003,-2.97,52.700001,.72000003,39.200001,-3.3,-3.3,5437,999,19.959999,10.57,928409,872083,1747,151017,553972,29583,1502,1741,721,2724,15565,4142,27990,52429,3471,49923,8016,5193,11135,3275,3281,10,4529,8218,950,7268,12692,56326,8,8.5923004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2022,emery,15,5248,10099,9.1499996,7.0999999,5.4299998,7.54,64.900002,-1.38,51.099998,.89999998,37.299999,-1.9400001,.30000001,6054,1032,9.6499996,23.200001,1387886,1349460,7193,214884,1336820,42920,4429,2769,1273,4369,25886,7302,41165,85557,4847,78640,37624,10217,12258,6379,6136,33,8707,14305,292,13641,19416,70431,8,8.5656023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,garfield,17,120,5064,9.5900002,8.2600002,7.4299998,10.57,63.799999,-2.6600001,50.900002,-.039999999,37.900002,-2.7,-2.7,5724,603,9.9899998,7.4499998,196246,155493,1866,4031,2796,5298,2195,3273,820,1483,6988,1850,45024,36142,2488,33446,4260,1312,14370,433,11304,356,10949,44152,3305,40847,4100,40754,9,4.7874918,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2007,grand,19,3600,8838,8.3000002,4.8499999,3.8,11.28,66,.83999997,52.599998,2.51,39.099998,.83999997,.83999997,5631,1112,21.84,17.030001,365020,310425,4993,43941,1984,25595,3321,1467,3638,7001,38005,10046,6920,71106,8721,62385,14975,10331,11127,4757,16322,1771,14550,59482,8783,50698,10323,54595,10,8.1886892,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012,grand,19,9000,9343,9.5900002,8.2600002,7.4299998,7.1100001,67.099998,-3.46,53.5,.67000002,39.900002,-3.77,-3.77,5298,1140,14.48,9.25,438796,370243,1597,61391,2898,25877,3857,1850,4834,5665,41829,11449,4226,82035,6299,75736,20872,14141,11675,6639,20737,1516,19221,76004,13580,62424,11805,68553,10,9.1049795,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012,iron,21,11000,46661,9.5900002,8.2600002,7.4299998,14.58,65,-.22,50.599998,.43000001,36.200001,-1.2,-1.2,5746,535,7.0799999,6.8299999,1189465,916323,29005,7353,9604,32737,155652,54717,100935,25519,98487,41493,9539,258118,64960,193158,64255,18344,17876,28036,77371,4601,72770,50921,8380,42541,56269,273142,11,9.3056507,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,iron,21,49060,50944,5.1999998,4.3000002,5.1799998,14.02,65,-2.1500001,50.900002,-2.1400001,36.799999,-2.1500001,-2.1500001,5726,615,10.38,32.060001,1554096,1234832,24954,21034,63512,91471,210815,63268,147546,35463,133147,26724,12503,292451,83567,208884,76795,32190,17151,27455,114359,7883,106476,73933,11860,62073,57670,319264,11,10.800799,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022,iron,21,9617,62429,9.1499996,7.0999999,5.4299998,12.89,64.400002,.34999999,50.099998,.69999999,35.799999,-1.45,1.25,6074,662,8.5299997,7.23,2158032,1771808,68589,11032,44207,126633,273073,99263,192419,47914,168612,42113,19401,404808,92684,318001,153423,54155,15411,55691,144955,14161,140860,97319,18714,79556,70637,372018,11,9.1712875,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,juab,23,96464,8482,4.6500001,3.3,3.25,7.46,63.700001,-2.21,49.799999,-1.13,35.799999,-2.95,-2.95,6377,869,9.75,9.7799997,164528,138758,1595,3319,0,18371,25206,35574,13031,2924,12955,14176,17,26775,4305,22471,10685,7950,10485,1621,8871,5,8866,7188,119,4239,6675,25770,12,11.476925,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007,juab,23,114663,9607,8.3000002,4.8499999,3.8,9.4200001,64.900002,-2.1800001,50.799999,1.88,36.700001,-2.96,-2.96,6186,1030,11.84,10.72,353345,316927,8788,21353,72594,39249,46078,44863,17314,2731,16323,16467,205,41480,5422,36058,22139,8377,8718,2262,14830,10,10575,7242,55,7188,7841,36419,12,11.649753,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012,juab,23,136879,10300,9.5900002,8.2600002,7.4299998,10.47,66.300003,-.51999998,52.400002,2.97,38.5,-1.79,-1.79,5531,968,13.01,20.950001,352798,312616,2976,17349,70493,17597,68193,48227,19966,3878,12587,19911,251,35659,3916,31743,28387,11554,14370,2463,22969,17,14663,6378,209,7060,9423,40181,12,11.826853,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,juab,23,115964,11308,5.1999998,4.3000002,5.1799998,10.92,64.800003,-2.0999999,51.599998,-2.22,38.400002,-2.0999999,-2.0999999,5813,941,26.629999,38.189999,412889,364472,10485,13566,52564,24789,91128,59009,32119,8135,13712,24077,307,36831,6138,45226,28796,12623,12700,3472,27285,30,20330,8943,277,9111,11323,48416,12,11.661036,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022,juab,23,38742,12567,9.1499996,7.0999999,5.4299998,9.29,64.900002,.23,50.900002,2.79,36.900002,-1.53,1.37,6156,1070,10.03,10.76,580218,530912,9461,26664,132567,43023,106570,89983,40615,6643,22576,29114,377,59216,7254,56762,55693,24230,12707,6148,37314,53,28188,13431,367,11757,13607,55120,12,10.564679,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,millard,27,38623,12223,4.6500001,3.3,3.25,6.5799999,65.800003,-1.97,51,-.79000002,36.200001,-2.71,-2.71,6029,963,6.4000001,10.01,539838,487261,51701,8912,270300,15045,9231,6524,4815,6089,23369,20677,2511,41588,4117,32818,16137,479,10605,5588,8782,1,8781,6205,480,5724,9045,52576,14,10.561604,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007,millard,27,143336,11954,8.3000002,4.8499999,3.8,8.3500004,66.199997,-.38,51.400002,3.0599999,36.599998,-1.6900001,-1.6900001,6019,1081,8.8299999,15.59,701620,639187,85384,26607,330161,6083,15919,8228,6398,7023,21267,25003,5224,62548,7695,54853,25568,682,11127,10575,14960,17,13648,7205,390,5937,10385,62433,14,11.872947,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012,millard,27,421383,12468,9.5900002,8.2600002,7.4299998,8.9300003,67.599998,-.62,53,2.22,38.400002,-1.6900001,.74000001,5326,996,8,19.77,743656,675511,62436,35814,365818,9340,21269,10376,8501,8893,21465,23988,2501,49189,4441,44748,37270,972,11675,16158,18977,30,18924,8154,1243,6911,11383,68145,14,12.951298,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,millard,27,567576,12805,5.1999998,4.3000002,5.1799998,9.3199997,66.699997,-1.98,52.599998,-1.88,38.5,-1.98,-1.98,5495,991,13.67,14.02,848512,773468,17765,56524,411355,14262,26159,15503,10656,11261,28746,36692,1962,55590,6795,64883,43617,1385,12249,23186,25951,53,26238,11372,363,11009,13003,75044,14,13.24913,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022,millard,27,230433,13330,9.1499996,7.0999999,5.4299998,7.8499999,66.300003,.62,51.599998,2.04,36.900002,-1.01,1.1799999,5971,1127,16.57,22.129999,1264693,1195054,72329,61941,1081786,16269,28776,16503,15008,14260,38269,44206,4840,88709,8030,81433,73550,1974,12852,29828,35489,93,36379,13934,908,12760,17264,91795,14,12.347715,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,morgan,29,1645,7488,4.6500001,3.3,3.25,19.389999,54.799999,-2.8699999,43.299999,-1.42,32,-2.8699999,-2.8699999,8131,273,6.6199999,14.75,121830,104460,6569,245,261,11401,14818,12600,1108,16317,6395,314,275,22305,3706,18599,15368,3940,10605,1366,2067,1,2066,1983,432,1551,6501,17371,15,7.4054956,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007,morgan,29,14917,8771,8.3000002,4.8499999,3.8,21.49,57,-1.41,45.099998,.95999998,33.299999,-1.89,-1.89,7559,339,7.8899999,20.99,191563,169009,14391,401,406,35596,21540,15890,1472,18724,9010,1399,336,33686,8049,25636,19163,6532,11127,2411,4736,76,3889,2932,365,2567,7813,22555,15,9.6102571,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2007,rich,33,3540,2124,8.3000002,4.8499999,3.8,13.06,55.400002,-2.8499999,42,-.02,28.700001,-2.9000001,-2.9000001,8544,195,8.4799995,16.23,66076,55426,13423,361,230,5993,670,2530,4,29,2006,1436,506,32738,4047,30578,2831,5,10633,825,2203,67,593,5749,624,4447,2386,10650,17,8.1718817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2002,salt lake,35,109806,918152,4.6500001,3.3,3.25,16.15,59.5,-2.76,48.5,-1.74,37.400002,-2.76,-2.76,6723,732,9.29,7.0700002,40294301,35261878,7726,231710,259711,2007047,3658457,2460254,1198202,2667631,2840682,1730797,2051831,10310155,6182636,4127519,4672431,2462773,889038,1320619,2188432,251007,1937425,1445768,399635,1046133,1189500,5032423,18,11.60647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007,salt lake,35,101160,983719,8.3000002,4.8499999,3.8,18.5,61.5,-1.53,50.200001,1.25,38.900002,-2.1199999,-2.1199999,6229,848,11.14,12.85,59384408,52710551,17271,796399,213041,3686842,6136589,4154585,1982005,4048489,4194246,2591076,2525535,15485468,9204117,6281351,6826525,3749870,1226021,1850634,3167231,388862,2778368,1631144,339989,1291155,1390694,6673857,18,11.524459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012,salt lake,35,75523,1064140,9.5900002,8.2600002,7.4299998,17.75,62.599998,-3.03,51.599998,.44999999,40.599998,-3.26,-3.26,5697,834,8.1499996,19.299999,67246167,59503276,8676,1233739,225486,3115006,7553651,5039997,2513654,4587185,5049610,2852959,2478116,16539162,9082652,7456510,8160464,4687199,1530603,1942662,4286644,714033,3572611,1777834,408499,1369336,1634745,7742891,18,11.232193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,salt lake,35,136428,1137273,5.1999998,4.3000002,5.1799998,22.309999,62,-2.95,51.200001,-2.22,40.400002,-2.95,-2.95,5841,828,10.96,7.3899999,87907426,78179343,21821,1198195,343690,4627698,8249040,4927200,3321841,5641524,5818643,4011149,4199868,22647658,12976847,9670810,11149563,6442193,1711905,2995464,5507927,964750,4543177,2654601,695974,1958628,2107968,9728083,18,11.823552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022,salt lake,35,10284,1186257,9.1499996,7.0999999,5.4299998,19.360001,60.900002,.57999998,49.799999,1.77,38.799999,-.77999997,.87,6367,869,9.29,10.03,111421781,102051735,15548,1654707,855916,6235903,10816577,6934377,4425284,7373163,6914790,4243543,4670431,26028664,13640119,11674113,18448991,9996756,1515839,4244405,7812979,2086443,6797699,3257313,803871,2498648,2436769,10721967,18,9.2383442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,san juan,37,291298,13662,4.6500001,3.3,3.25,7.0700002,66.900002,-1.88,53.5,-1.2,40,-3.0899999,-3.0899999,5381,1203,17.459999,6.0900002,283579,204428,3030,50896,712,11312,16391,2022,14369,4774,8969,3321,503,48783,4512,44271,14444,1300,10588,1588,10063,1394,14945,20381,997,15116,10850,79151,19,12.582102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007,san juan,37,460785,14028,8.3000002,4.8499999,3.8,10.47,67.199997,.83999997,54.099998,2.8099999,41.099998,-.61000001,.94,5144,1194,9.8400002,21.93,480054,382159,9120,182485,1300,16001,3169,2433,5354,4244,9258,3622,9521,62336,3983,58354,16007,1852,11110,4644,21094,2807,18287,32262,1321,19507,11039,97895,19,13.040687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012,san juan,37,392159,15052,9.5900002,8.2600002,7.4299998,7.0799999,68.400002,-3.5999999,55.099998,.050000001,41.700001,-3.6800001,-3.6800001,4841,1254,6.8299999,12.35,527623,427542,3711,231985,791,14791,5709,3069,7114,5005,10834,4367,3898,65100,3706,61395,12480,2638,11656,9681,36500,4343,28731,24915,1752,25173,12832,100082,19,12.879422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,san juan,37,771856,15286,5.1999998,4.3000002,5.1799998,7.7199998,68.300003,-3.45,55.200001,-1.9299999,42.200001,-3.45,-3.45,4665,1131,18.129999,10.31,475307,357803,2485,114912,8693,17082,6492,3870,9453,6805,11487,5281,4775,82414,4541,77873,6425,3759,12230,2259,51719,5744,45975,36841,2322,32486,15848,117504,19,13.556553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022,san juan,37,744277,14359,9.1499996,7.0999999,5.4299998,9.6499996,66.800003,-.80000001,53.799999,1.24,40.700001,-1.8,.57999998,5318,1261,23.200001,16.52,753286,600543,4427,248148,5658,26862,13125,4880,12560,8617,16775,6386,5849,108895,5940,107350,23311,5356,12832,6231,57518,13526,55233,48791,3078,41923,19044,142619,19,13.520168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007,sanpete,39,4018,25846,8.3000002,4.8499999,3.8,17.030001,57.900002,-.15000001,45,1.73,32.200001,-1.05,.57999998,7538,276,21.49,7.8899999,558745,425603,13573,12872,604,40503,46041,31088,20946,4892,35879,11341,71975,113568,15833,97735,14245,6649,8283,3665,28916,5679,19951,7079,827,6252,18598,133142,20,8.2985392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012,sanpete,39,31016,27958,9.5900002,8.2600002,7.4299998,16.75,58.700001,-2,45.900002,.75999999,33.099998,-2.3800001,-2.3800001,7151,212,14.58,7.0799999,637650,489624,82410,12515,1398,29485,49926,39206,27831,6107,31798,9952,31388,134242,12586,121657,24517,8137,8691,4262,42910,12430,30479,10486,2061,8425,22491,148026,20,10.342258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,sanpete,39,60589,29953,5.1999998,4.3000002,5.1799998,18.129999,59.200001,-2.96,46.400002,-2.8399999,33.700001,-2.96,-2.96,7029,273,10.31,15.11,793244,623293,153918,6819,2855,36129,86335,53133,33201,7845,37405,15161,40026,111466,12748,98719,31452,11594,9119,8682,51880,15368,36512,16960,1385,15575,25808,169951,20,11.011868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022,sanpete,39,68221,29724,9.1499996,7.0999999,5.4299998,16.57,57.799999,-.15000001,44.900002,2.1900001,31.9,-1.2,.73000002,7626,320,22.129999,24.49,1052744,830161,75860,11746,4661,56040,97126,62355,49136,9934,52824,17172,65469,175719,19932,160359,44436,16519,9567,9961,69869,31215,53179,17451,2131,15370,32978,208555,20,11.130507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
